,city,cases
0,Bogota,1396
1,Cali,468
2,Medellin,206
3,Cartagena,162
4,Barranquilla,74
5,Santa Marta,72
6,Pereira,69
7,Neiva,55
8,Cucuta,52
9,Villavicencio,44
10,Palmira,40
11,Armenia,37
12,Dosquebradas,33
13,Valledupar,31
14,Bello,29
15,Ibague,27
16,La Dorada,26
17,Envigado,25
18,Chia,23
19,Soacha,22
20,Ipiales,19
21,Soledad,16
22,Yumbo,16
23,Bucaramanga,16
24,Popayan,15
25,Pasto,15
26,Buenaventura,14
27,Cienaga,12
28,Togui,12
29,Monteria,12
30,Manizales,12
31,Tulua,11
32,Pacho,11
33,Cajica,11
34,Itagui,11
35,Rionegro,10
36,Cartago,10
37,Sabaneta,9
38,Cota,9
39,Yopal,9
40,Buga,8
41,Jamundi,7
42,Tunja,7
43,Turbaco,7
44,Floridablanca,7
45,Zipaquira,6
46,Barrancabermeja,6
47,El Cerrito,6
48,Funza,6
49,Quibdo,6
50,Calarca,6
51,San Andres,6
52,Villapinzon,5
53,La Estrella,5
54,Miranda,5
55,Mosquera,5
56,Tumaco,5
57,Apartado,4
58,Chinchina,4
59,Florida,4
60,Suesca,4
61,Madrid,4
62,El Dovio,4
63,Tenjo,4
64,Puerto Colombia,4
65,Villeta,4
66,Santana,4
67,Subachoque,3
68,Trujillo,3
69,Cumbal,3
70,Montebello,3
71,Villa Del Rosario,3
72,Sopo,3
73,Palermo,3
74,Socha,3
75,Villamaria,3
76,Espinal,3
77,Montenegro,3
78,Facatativa,3
79,Candelaria,3
80,Tocancipa,3
81,Caldas,3
82,Circasia,3
83,Arjona,2
84,Zona Bananera,2
85,Dos Quebradas,2
86,Anapoima,2
87,Cimitarra,2
88,Santa Rosa,2
89,Guatape,2
90,La Virginia,2
91,Puerto Tejada,2
92,San Juan De Rio Seco,2
93,San Pedro,2
94,La Union,2
95,Viterbo,2
96,La Ceja,2
97,Gigante,2
98,Guacari,2
99,Guarne,2
100,Ubate,2
101,Baranoa,2
102,Tenza,2
103,Santa Rosa De Cabal,2
104,Risaralda,2
105,Yotoco,1
106,Bugalagrande,1
107,Malambo,1
108,Angostura,1
109,Choachi,1
110,Sahagun,1
111,San Diego,1
112,La Calera,1
113,Oicata,1
114,Puerto Santander,1
115,Anserma,1
116,Sogamoso,1
117,Tuquerres,1
118,Cerete,1
119,Cumbitara,1
120,Santuario,1
121,Garagoa,1
122,Tierralta,1
123,Melgar,1
124,Riohacha,1
125,Lorica,1
126,Darien,1
127,Santo Tomas,1
128,San Cristobal,1
129,Galapa,1
130,Andalucia,1
131,Acacias,1
132,Ocaña,1
133,Polonuevo,1
134,Santa Sofia,1
135,Ponedera,1
136,Silvania,1
137,Timbio,1
138,Sonson,1
139,Concepcion,1
140,Copacabana,1
141,Frontino,1
142,Pereirea,1
143,Sincelejo,1
144,Granada,1
145,Choconta,1
146,Leticia,1
147,Ulloa,1
148,Santander De Quilichao,1
149,San Martin,1
150,Cocorna,1
151,Santafe De Antioquia,1
152,El Retiro,1
153,Fusagasuga,1
154,Pitalito,1
155,Fundacion,1
156,Don Matias,1
157,Curiti,1
158,Cienaga De Oro,1
159,Agrado,1
160,Filandia,1
161,Ginebra,1
162,La Tebaida,1
163,Contadero,1
164,El Banco,1
165,Restrepo,1
166,San Francisco,1
167,Marsella,1
